;subprefeitura/zona;valor;secretaria;numero_meta;meta;indicador;codigo_subs;codigo_zonas
0;Aricanduva/Vila Formosa;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;26;
1;Butantã;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;10;
2;Campo Limpo;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;17;
3;Capela do Socorro;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;19;
4;Casa Verde;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;04;
5;Cidade Ademar;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;16;
6;Cidade Tiradentes;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;31;
7;Ermelino Matarazzo;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;22;
8;Freguesia do Ó/Brasilândia;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;03;
9;Guaianases;;SMRI;68;Realizar 150 ações de projeção internacional que posicionem São Paulo como cidade global e sustentável e que possibilitem acordos de cooperação internacional.;Número de ações de projeção internacional realizadas (campanhas de comunicação, participação em eventos internacionais e realização de eventos internacionais na cidade de São Paulo).;28;
